,Player,Market_value(m),Position,Age,Nationality,Club,League
0,Erling Haaland ,150.0, Centre-Forward,21,Norway,Borussia Dortmund,GER
1,Joshua Kimmich ,90.0, Defensive Midfield,26,Germany,Bayern Munich,GER
2,Leon Goretzka ,70.0, Central Midfield,26,Germany,Bayern Munich,GER
3,Jude Bellingham ,70.0, Central Midfield,18,England,Borussia Dortmund,GER
4,Serge Gnabry ,70.0, Right Winger,26,Germany,Bayern Munich,GER
5,Alphonso Davies ,70.0, Left-Back,21,Canada,Bayern Munich,GER
6,Florian Wirtz ,65.0, Attacking Midfield,18,Germany,Bayer 04 Leverkusen,GER
7,Dayot Upamecano ,60.0, Centre-Back,23,France,Bayern Munich,GER
8,Leroy Sané ,60.0, Left Winger,25,Germany,Bayern Munich,GER
9,Robert Lewandowski ,60.0, Centre-Forward,33,Poland,Bayern Munich,GER
10,Kingsley Coman ,55.0, Right Winger,25,France,Bayern Munich,GER
11,Jamal Musiala ,50.0, Attacking Midfield,18,Germany,Bayern Munich,GER
12,Dani Olmo ,50.0, Attacking Midfield,23,Spain,RB Leipzig,GER
13,Christopher Nkunku ,47.0, Attacking Midfield,24,France,RB Leipzig,GER
14,Lucas Hernández ,45.0, Centre-Back,25,France,Bayern Munich,GER
15,Giovanni Reyna ,42.0, Attacking Midfield,19,United States,Borussia Dortmund,GER
16,Moussa Diaby ,42.0, Left Winger,22,France,Bayer 04 Leverkusen,GER
17,André Silva ,40.0, Centre-Forward,26,Portugal,RB Leipzig,GER
18,Raphaël Guerreiro ,40.0, Left-Back,27,Portugal,Borussia Dortmund,GER
19,Edmond Tapsoba ,40.0, Centre-Back,22,Burkina Faso,Bayer 04 Leverkusen,GER
20,Benjamin Pavard ,35.0, Right-Back,25,France,Bayern Munich,GER
21,Angeliño ,35.0, Left Midfield,24,Spain,RB Leipzig,GER
22,Niklas Süle ,35.0, Centre-Back,26,Germany,Bayern Munich,GER
23,Marcel Sabitzer ,32.0, Central Midfield,27,Austria,Bayern Munich,GER
24,Wout Weghorst ,30.0, Centre-Forward,29,Netherlands,VfL Wolfsburg,GER
25,Manuel Akanji ,30.0, Centre-Back,26,Switzerland,Borussia Dortmund,GER
26,Donyell Malen ,30.0, Centre-Forward,22,Netherlands,Borussia Dortmund,GER
27,Thomas Müller ,30.0, Second Striker,32,Germany,Bayern Munich,GER
28,Patrik Schick ,28.0, Centre-Forward,25,Czech Republic,Bayer 04 Leverkusen,GER
29,Marcus Thuram ,28.0, Left Winger,24,France,Borussia Mönchengladbach,GER
30,Evan Ndicka ,28.0, Centre-Back,22,France,Eintracht Frankfurt,GER
31,Maxence Lacroix ,28.0, Centre-Back,21,France,VfL Wolfsburg,GER
32,Florian Neuhaus ,28.0, Central Midfield,24,Germany,Borussia Mönchengladbach,GER
33,Thorgan Hazard ,27.0, Left Winger,28,Belgium,Borussia Dortmund,GER
34,Xaver Schlager ,27.0, Central Midfield,24,Austria,VfL Wolfsburg,GER
35,Matthias Ginter ,27.0, Centre-Back,27,Germany,Borussia Mönchengladbach,GER
36,Lukas Klostermann ,27.0, Right-Back,25,Germany,RB Leipzig,GER
37,Denis Zakaria ,27.0, Defensive Midfield,25,Switzerland,Borussia Mönchengladbach,GER
38,Emre Can ,26.0, Defensive Midfield,27,Germany,Borussia Dortmund,GER
39,Konrad Laimer ,26.0, Central Midfield,24,Austria,RB Leipzig,GER
40,Daichi Kamada ,25.0, Attacking Midfield,25,Japan,Eintracht Frankfurt,GER
41,Nordi Mukiele ,25.0, Right-Back,24,France,RB Leipzig,GER
42,Silas Katompa Mvumpa ,25.0, Right Midfield,23,DR Congo,VfB Stuttgart,GER
43,Nico Elvedi ,25.0, Centre-Back,25,Switzerland,Borussia Mönchengladbach,GER
44,Ilaix Moriba ,25.0, Central Midfield,18,Guinea,RB Leipzig,GER
45,Ridle Baku ,25.0, Right Winger,23,Germany,VfL Wolfsburg,GER
46,Dominik Szoboszlai ,25.0, Left Winger,21,Hungary,RB Leipzig,GER
47,Amadou Haidara ,24.0, Central Midfield,23,Mali,RB Leipzig,GER
48,Andrej Kramaric ,23.0, Second Striker,30,Croatia,TSG 1899 Hoffenheim,GER
49,Odilon Kossounou ,23.0, Centre-Back,20,Cote d'Ivoire,Bayer 04 Leverkusen,GER
50,Ramy Bensebaini ,22.0, Left-Back,26,Algeria,Borussia Mönchengladbach,GER
51,Sasa Kalajdzic ,22.0, Centre-Forward,24,Austria,VfB Stuttgart,GER
52,Christoph Baumgartner ,22.0, Attacking Midfield,22,Austria,TSG 1899 Hoffenheim,GER
53,Orel Mangala ,22.0, Defensive Midfield,23,Belgium,VfB Stuttgart,GER
54,Jonathan Tah ,22.0, Centre-Back,25,Germany,Bayer 04 Leverkusen,GER
55,Yussuf Poulsen ,21.0, Centre-Forward,27,Denmark,RB Leipzig,GER
56,Filip Kostic ,20.0, Left Midfield,29,Serbia,Eintracht Frankfurt,GER
57,Julian Brandt ,20.0, Attacking Midfield,25,Germany,Borussia Dortmund,GER
58,Emil Forsberg ,20.0, Left Winger,30,Sweden,RB Leipzig,GER
59,Tyler Adams ,20.0, Defensive Midfield,22,United States,RB Leipzig,GER
60,Josko Gvardiol ,19.0, Centre-Back,19,Croatia,RB Leipzig,GER
61,Maximilian Arnold ,19.0, Central Midfield,27,Germany,VfL Wolfsburg,GER
62,Youssoufa Moukoko ,18.0, Centre-Forward,17,Germany,Borussia Dortmund,GER
63,Manuel Neuer ,18.0, Goalkeeper,35,Germany,Bayern Munich,GER
64,Kerem Demirbay ,18.0, Central Midfield,28,Germany,Bayer 04 Leverkusen,GER
65,Alassane Plea ,18.0, Centre-Forward,28,France,Borussia Mönchengladbach,GER
66,Mahmoud Dahoud ,18.0, Central Midfield,25,Germany,Borussia Dortmund,GER
67,Mohamed Simakan ,18.0, Centre-Back,21,France,RB Leipzig,GER
68,Gregor Kobel ,18.0, Goalkeeper,24,Switzerland,Borussia Dortmund,GER
69,Rafael Borré ,17.0, Centre-Forward,26,Colombia,Eintracht Frankfurt,GER
70,Roland Sallai ,16.0, Right Winger,24,Hungary,SC Freiburg,GER
71,Ihlas Bebou ,16.0, Right Winger,27,Togo,TSG 1899 Hoffenheim,GER
72,Reinier ,16.0, Attacking Midfield,19,Brazil,Borussia Dortmund,GER
73,Jeremiah St. Juste ,16.0, Centre-Back,25,Netherlands,1.FSV Mainz 05,GER
74,Willi Orbán ,16.0, Centre-Back,29,Hungary,RB Leipzig,GER
75,Felix Uduokhai ,16.0, Centre-Back,24,Germany,FC Augsburg,GER
76,Breel Embolo ,16.0, Centre-Forward,24,Switzerland,Borussia Mönchengladbach,GER
77,Florian Grillitsch ,16.0, Defensive Midfield,26,Austria,TSG 1899 Hoffenheim,GER
78,Borna Sosa ,16.0, Left-Back,23,Croatia,VfB Stuttgart,GER
79,Jonas Hofmann ,16.0, Right Winger,29,Germany,Borussia Mönchengladbach,GER
80,Exequiel Palacios ,15.0, Central Midfield,23,Argentina,Bayer 04 Leverkusen,GER
81,Nadiem Amiri ,15.0, Attacking Midfield,25,Germany,Bayer 04 Leverkusen,GER
82,Djibril Sow ,15.0, Central Midfield,24,Switzerland,Eintracht Frankfurt,GER
83,Jeremie Frimpong ,15.0, Right-Back,21,Netherlands,Bayer 04 Leverkusen,GER
84,Lucas Alario ,15.0, Centre-Forward,29,Argentina,Bayer 04 Leverkusen,GER
85,Moussa Niakhaté ,15.0, Centre-Back,25,France,1.FSV Mainz 05,GER
86,Corentin Tolisso ,15.0, Central Midfield,27,France,Bayern Munich,GER
87,Krzysztof Piatek ,15.0, Centre-Forward,26,Poland,Hertha BSC,GER
88,Diadié Samassékou ,14.0, Defensive Midfield,25,Mali,TSG 1899 Hoffenheim,GER
89,Kevin Mbabu ,14.0, Right-Back,26,Switzerland,VfL Wolfsburg,GER
90,Koen Casteels ,14.0, Goalkeeper,29,Belgium,VfL Wolfsburg,GER
91,John Anthony Brooks ,14.0, Centre-Back,28,United States,VfL Wolfsburg,GER
92,Philipp Lienhart ,14.0, Centre-Back,25,Austria,SC Freiburg,GER
93,Sebastiaan Bornauw ,14.0, Centre-Back,22,Belgium,VfL Wolfsburg,GER
94,Dan-Axel Zagadou ,14.0, Centre-Back,22,France,Borussia Dortmund,GER
95,Paulinho ,13.0, Left Winger,21,Brazil,Bayer 04 Leverkusen,GER
96,Ellyes Skhiri ,13.0, Defensive Midfield,26,Tunisia,1. FC Köln,GER
97,Martin Hinteregger ,13.0, Centre-Back,29,Austria,Eintracht Frankfurt,GER
98,Péter Gulácsi ,13.0, Goalkeeper,31,Hungary,RB Leipzig,GER
99,Dodi Lukébakio ,13.0, Right Winger,24,Belgium,VfL Wolfsburg,GER
